Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"22 May 2025"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;122,80;122,80;119,20;120,00;"21/05/2025 16:26";CET;49228;'5909690,50;120,00;21/05/2025
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6,67;6,75;6,67;6,69;"21/05/2025 16:25";CET;267859;'1581070,07;6,69;21/05/2025
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;10,30;10,30;9,96;9,96;"21/05/2025 15:05";CET;18653;'186430,94;9,96;21/05/2025
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;152,00;152,00;149,80;151,00;"21/05/2025 16:25";CET;92746;'14035368,00;151,00;21/05/2025
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;26,85;27,50;26,55;27,50;"21/05/2025 16:25";CET;24964;'670370,50;27,50;21/05/2025
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;1,18;1,18;1,14;1,17;"21/05/2025 16:25";CET;23978;27923,90;1,17;21/05/2025
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;12,16;12,34;12,10;12,10;"21/05/2025 16:25";CET;39973;'485892,78;12,10;21/05/2025
AKER;NO0010234552;AKER;"Oslo Børs";NOK;601,00;603,00;597,00;601,00;"21/05/2025 16:25";CET;20556;'12341309,00;601,00;21/05/2025
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;60,10;61,90;60,10;60,70;"21/05/2025 16:25";CET;32188;'1958194,40;60,70;21/05/2025
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;239,00;240,50;235,00;237,20;"21/05/2025 16:29";CET;1116269;'267194480,30;237,20;21/05/2025
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;2,888;2,896;2,888;2,892;"21/05/2025 16:25";CET;2480329;'7169268,41;2,892;21/05/2025
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;1,36;1,366;1,35;1,362;"21/05/2025 16:25";CET;3234662;'4400586,05;1,362;21/05/2025
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;33,24;33,40;32,76;33,04;"21/05/2025 16:25";CET;603388;'19935190,72;33,04;21/05/2025
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;70,00;72,00;70,00;71,60;"21/05/2025 16:14";CET;4272;'302925,20;71,60;21/05/2025
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;1,488;1,538;1,472;1,516;"21/05/2025 16:25";CET;745627;'1122506,17;1,516;21/05/2025
ARCHER;BMG0451H2087;ARCH;"Oslo Børs";NOK;22,25;23,05;22,20;23,05;"21/05/2025 16:25";CET;47735;'1082844,90;23,05;21/05/2025
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;16,45;16,85;16,45;16,80;"21/05/2025 16:25";CET;16202;'271678,15;16,80;21/05/2025
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;130,00;130,00;128,00;128,00;"21/05/2025 16:25";CET;2753;'355550,00;128,00;21/05/2025
ARGEO;NO0013257410;ARGEO;"Oslo Børs";NOK;2,85;2,98;2,74;2,80;"21/05/2025 16:26";CET;652535;'1828388,31;2,80;21/05/2025
"ARRIBATEC GROUP";NO0012861667;ARR;"Oslo Børs";NOK;'0,432;'0,45;'0,431;'0,45;"21/05/2025 16:25";CET;244094;'106549,60;'0,45;21/05/2025
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;149,00;150,40;148,80;149,80;"21/05/2025 16:26";CET;35840;'5365080,80;149,80;21/05/2025
"ATLANTIC SAPPHI TR";NO0013340802;ASAS;"Oslo Børs";NOK;'0,40;'0,60;'0,40;'0,60;"20/05/2025 11:55";CET;51;20,80;'0,60;21/05/2025
"ATLANTIC SAPPHIRE";NO0013464750;ASA;"Oslo Børs";NOK;7,33;7,38;7,10;7,206;"21/05/2025 16:25";CET;47866;'344668,15;7,206;21/05/2025
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;228,00;231,95;228,00;231,95;"21/05/2025 13:10";CET;1696;'389125,40;231,95;21/05/2025
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;98,50;99,60;98,30;99,20;"21/05/2025 16:27";CET;91683;'9075703,90;99,20;21/05/2025
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;5,635;5,735;5,505;5,70;"21/05/2025 16:28";CET;3728209;'21140386,74;5,70;21/05/2025
"AVANCE GAS HOLDING";BMG067231032;AGAS;"Oslo Børs";NOK;2,65;2,65;2,424;2,578;"21/05/2025 16:25";CET;280111;'707402,48;2,578;21/05/2025
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;6,10;6,10;6,00;6,04;"21/05/2025 16:25";CET;263526;'1591364,42;6,04;21/05/2025
"B2 Impact";NO0010633951;B2I;"Oslo Børs";NOK;13,80;14,14;13,76;14,14;"21/05/2025 16:25";CET;522228;'7286339,78;14,14;21/05/2025
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;483,00;495,20;481,40;487,80;"21/05/2025 16:25";CET;74701;'36520073,20;487,80;21/05/2025
BERGENBIO;NO0013251173;BGBIO;"Oslo Børs";NOK;1,824;2,15;1,806;2,00;"21/05/2025 16:27";CET;1599475;'3206707,94;2,00;21/05/2025
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;22,75;23,15;22,70;22,70;"21/05/2025 15:53";CET;3196;72956,20;22,70;21/05/2025
"BIEN SPAREBANK";NO0012706763;BIEN;"Oslo Børs";NOK;145,00;149,00;145,00;146,00;"21/05/2025 15:32";CET;1144;'166625,00;146,00;21/05/2025
BLUENORD;NO0010379266;BNOR;"Oslo Børs";NOK;580,00;587,00;576,00;583,00;"21/05/2025 16:25";CET;9430;'5499269,00;583,00;21/05/2025
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;242,00;242,50;241,00;242,50;"21/05/2025 16:25";CET;4893;'1184638,00;242,50;21/05/2025
BORGESTAD;NO0013256180;BOR;"Oslo Børs";NOK;18,40;18,40;17,65;17,70;"21/05/2025 15:26";CET;9325;'166989,75;17,70;21/05/2025
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;185,00;186,00;182,60;186,00;"21/05/2025 16:28";CET;106336;'19671242,20;186,00;21/05/2025
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;79,90;80,70;76,00;80,70;"21/05/2025 16:25";CET;259270;'20485840,40;80,70;21/05/2025
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;32,50;32,95;32,30;32,95;"21/05/2025 16:25";CET;85960;'2820209,20;32,95;21/05/2025
"BW LPG";SGXZ69436764;BWLPG;"Oslo Børs";NOK;119,80;119,80;112,20;112,60;"21/05/2025 16:28";CET;450931;'51606612,60;112,60;21/05/2025
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;32,40;33,50;32,40;32,95;"21/05/2025 16:25";CET;79117;'2617253,05;32,95;21/05/2025
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;18,80;20,20;18,80;19,20;"21/05/2025 16:01";CET;14314;'275628,60;19,20;21/05/2025
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;52,15;53,20;48,62;48,78;"21/05/2025 16:28";CET;627292;'31507071,01;48,78;21/05/2025
"CAPSOL TECHNOLOGI";NO0010923121;CAPSL;"Oslo Børs";NOK;9,08;9,20;9,08;9,14;"21/05/2025 16:25";CET;10292;93778,22;9,14;21/05/2025
"CAVENDISH HYDROGEN";NO0013219535;CAVEN;"Oslo Børs";NOK;13,38;14,48;11,50;11,50;"21/05/2025 16:27";CET;304285;'4157361,68;11,50;21/05/2025
"CIRCIO HOLDING";NO0013033795;CRNA;"Oslo Børs";NOK;'0,598;'0,618;'0,58;'0,61;"21/05/2025 16:25";CET;679599;'406649,62;'0,61;21/05/2025
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;12,20;12,20;12,00;12,02;"21/05/2025 16:25";CET;10937;'131566,30;12,02;21/05/2025
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;4,92;4,92;4,90;4,90;"21/05/2025 16:25";CET;111;544,12;4,90;21/05/2025
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;129,00;136,80;128,90;133,30;"21/05/2025 16:25";CET;141837;'19035148,10;133,30;21/05/2025
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;275,80;278,20;275,00;277,70;"21/05/2025 16:25";CET;1411166;'391324131,30;277,70;21/05/2025
DNO;NO0003921009;DNO;"Oslo Børs";NOK;12,22;12,46;12,21;12,35;"21/05/2025 16:25";CET;2626767;'32422742,22;12,35;21/05/2025
"DOF GROUP";NO0012851874;DOFG;"Oslo Børs";NOK;90,70;90,80;89,65;90,35;"21/05/2025 16:28";CET;344980;'31171270,80;90,35;21/05/2025
"EDDA WIND";NO0010998529;EWIND;"Oslo Børs";NOK;22,70;23,00;22,70;23,00;"21/05/2025 16:17";CET;6479;'147879,50;23,00;21/05/2025
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;13,00;13,30;13,00;13,15;"21/05/2025 16:25";CET;9709;'126689,85;13,15;21/05/2025
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;1,665;1,75;1,655;1,75;"21/05/2025 16:25";CET;192279;'323217,21;1,75;21/05/2025
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;19,81;19,81;19,16;19,35;"21/05/2025 16:25";CET;508489;'9839748,92;19,35;21/05/2025
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;12,60;13,18;12,42;12,90;"21/05/2025 16:28";CET;883311;'11407320,02;12,90;21/05/2025
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;34,20;34,25;33,95;34,20;"21/05/2025 16:25";CET;55767;'1903673,15;34,20;21/05/2025
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;42,40;42,95;42,25;42,30;"21/05/2025 16:25";CET;39486;'1676290,80;42,30;21/05/2025
ENDÚR;NO0012555459;ENDUR;"Oslo Børs";NOK;84,40;87,30;82,80;87,10;"21/05/2025 16:25";CET;264811;'22780253,30;87,10;21/05/2025
"ENSURGE MICROPOWER";NO0013186460;ENSU;"Oslo Børs";NOK;1,254;1,298;1,228;1,274;"21/05/2025 16:27";CET;4160083;'5266841,54;1,274;21/05/2025
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;124,60;124,60;122,60;124,00;"21/05/2025 16:29";CET;66077;'8167478,00;124,00;21/05/2025
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Oslo Børs";NOK;70,20;70,60;65,00;66,80;"21/05/2025 16:26";CET;77468;'5180942,00;66,80;21/05/2025
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;244,10;247,40;243,20;244,70;"21/05/2025 16:25";CET;2876904;'704924405,10;244,70;21/05/2025
EQVA;NO0010708605;EQVA;"Oslo Børs";NOK;4,97;4,97;4,90;4,95;"21/05/2025 14:41";CET;1212;5996,64;4,95;21/05/2025
EUROPRIS;NO0010735343;EPR;"Oslo Børs";NOK;80,50;81,40;80,00;81,10;"21/05/2025 16:25";CET;210021;'17001650,20;81,10;21/05/2025
"FLEX LNG";BMG359472021;FLNG;"Oslo Børs";NOK;252,00;252,00;237,00;238,50;"21/05/2025 16:28";CET;26118;'6326516,50;238,50;21/05/2025
FRONTLINE;CY0200352116;FRO;"Oslo Børs";NOK;185,75;187,50;181,40;182,40;"21/05/2025 16:26";CET;987151;'181286233,15;182,40;21/05/2025
"GENTIAN DIAGNOSTIC";NO0010748866;GENT;"Oslo Børs";NOK;57,00;57,40;55,60;56,00;"21/05/2025 16:25";CET;5899;'330771,60;56,00;21/05/2025
"GENTOO MEDIA";US36467X2062;G2MNO;"Oslo Børs";NOK;14,88;14,88;14,72;14,80;"21/05/2025 16:25";CET;1216;17917,46;14,80;21/05/2025
"GJENSIDIGE FORSIKR";NO0010582521;GJF;"Oslo Børs";NOK;259,00;262,80;257,80;262,80;"21/05/2025 16:30";CET;310603;'81461102,00;262,80;21/05/2025
"GOLDEN OCEAN GROUP";BMG396372051;GOGL;"Oslo Børs";NOK;79,50;79,50;75,50;77,40;"21/05/2025 16:25";CET;452577;'34810919,60;77,40;21/05/2025
GOODTECH;NO0004913609;GOD;"Oslo Børs";NOK;9,40;9,40;9,24;9,24;"21/05/2025 15:50";CET;861;8067,64;9,24;21/05/2025
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;71,70;73,55;71,20;73,20;"21/05/2025 16:25";CET;230875;'16726925,35;73,20;21/05/2025
GYLDENDAL;NO0004288200;GYL;"Oslo Børs";NOK;428,00;428,00;428,00;428,00;"11/04/2025 11:50";CET;4;1712,00;428,00;21/05/2025
"HAFNIA LIMITED";SGXZ53070850;HAFNI;"Oslo Børs";NOK;55,60;56,00;54,38;54,88;"21/05/2025 16:31";CET;369583;'20290568,90;54,88;21/05/2025
"HAUGESUND SPB";NO0010764053;HGSB;"Oslo Børs";NOK;168,00;168,00;168,00;168,00;"21/05/2025 09:00";CET;8;1344,00;168,00;21/05/2025
"HAVILA SHIPPING";NO0010257728;HAVI;"Oslo Børs";NOK;1,50;1,565;1,45;1,495;"21/05/2025 16:27";CET;186807;'283619,10;1,495;21/05/2025
"HERMANA HOLDING";NO0013401380;HERMA;"Oslo Børs";NOK;9,80;10,35;9,80;10,35;"21/05/2025 15:42";CET;5895;58113,95;10,35;21/05/2025
"HEXAGON COMPOSITES";NO0003067902;HEX;"Oslo Børs";NOK;17,66;17,80;17,34;17,64;"21/05/2025 16:27";CET;1326811;'23369377,20;17,64;21/05/2025
"HEXAGON PURUS";NO0010904923;HPUR;"Oslo Børs";NOK;1,45;1,50;1,438;1,474;"21/05/2025 16:25";CET;281139;'417864,36;1,474;21/05/2025
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;2,40;2,47;2,20;2,29;"21/05/2025 16:25";CET;30138;67945,42;2,29;21/05/2025
HYDROGENPRO;NO0010892359;HYPRO;"Oslo Børs";NOK;3,80;3,80;3,53;3,70;"21/05/2025 16:25";CET;77297;'281652,59;3,70;21/05/2025
"HÖEGH AUTOLINERS";NO0011082075;HAUTO;"Oslo Børs";NOK;89,55;89,85;87,55;88,85;"21/05/2025 16:29";CET;412513;'36546962,55;88,85;21/05/2025
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;170,50;172,00;170,50;172,00;"20/05/2025 16:15";CET;34;5810,34;172,00;21/05/2025
"IDEX BIOMETRICS";NO0013107490;IDEX;"Oslo Børs";NOK;'0,0866;'0,0866;'0,06;'0,0637;"21/05/2025 16:25";CET;'44588657;'2956672,40;'0,0637;21/05/2025
"INTEGRATED WIND SO";NO0013461350;IWS;"Oslo Børs";NOK;42,00;44,00;41,995;44,00;"21/05/2025 16:25";CET;8472;'358827,74;44,00;21/05/2025
"INTEROIL EXPL PROD";NO0013119255;IOX;"Oslo Børs";NOK;1,602;1,848;1,602;1,848;"21/05/2025 16:25";CET;1819;3319,32;1,848;21/05/2025
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;9,60;9,60;9,60;9,60;"21/05/2025 13:56";CET;146;1401,60;9,60;21/05/2025
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;5,68;5,68;5,44;5,66;"21/05/2025 16:07";CET;22154;'124119,88;5,66;21/05/2025
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;358,00;358,00;358,00;358,00;"21/05/2025 16:10";CET;90;32220,00;358,00;21/05/2025
KID;NO0010743545;KID;"Oslo Børs";NOK;149,20;149,80;147,60;149,80;"21/05/2025 16:25";CET;58705;'8744306,40;149,80;21/05/2025
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;55,00;56,30;55,00;56,30;"21/05/2025 16:25";CET;418432;'23470246,50;56,30;21/05/2025
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;64,10;64,10;63,50;64,10;"21/05/2025 16:25";CET;16216;'1033748,10;64,10;21/05/2025
"KMC PROPERTIES";NO0010360175;KMCP;"Oslo Børs";NOK;'0,068;'0,068;'0,063;'0,0632;"21/05/2025 16:27";CET;2820879;'182556,49;'0,0632;21/05/2025
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;12,45;12,45;11,35;11,70;"21/05/2025 16:25";CET;20546;'238575,60;11,70;21/05/2025
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;1,572;1,634;1,572;1,634;"21/05/2025 16:27";CET;2337732;'3776561,90;1,634;21/05/2025
"KONGSBERG GRUPPEN";NO0003043309;KOG;"Oslo Børs";NOK;1696,00;1747,50;1696,00;1743,00;"21/05/2025 16:29";CET;273229;'473633883,75;1743,00;21/05/2025
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;47,60;48,28;47,42;48,16;"21/05/2025 16:32";CET;568025;'27301378,00;48,16;21/05/2025
LIFECARE;NO0013355859;LIFE;"Oslo Børs";NOK;9,68;9,68;8,90;9,00;"21/05/2025 16:16";CET;26887;'244461,50;9,00;21/05/2025
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;25,95;25,95;25,30;25,40;"21/05/2025 16:25";CET;274515;'6996766,28;25,40;21/05/2025
MAGNORA;NO0010187032;MGN;"Oslo Børs";NOK;23,25;23,60;22,95;23,10;"21/05/2025 16:25";CET;246426;'5701714,20;23,10;21/05/2025
MEDISTIM;NO0010159684;MEDI;"Oslo Børs";NOK;213,00;213,00;206,00;213,00;"21/05/2025 16:25";CET;2738;'575047,00;213,00;21/05/2025
